position			Title			Directors			IMDb_Rating			Year			actor/actress1			actor/actress2			actor/actress3			actor/actress4			box_office			budget
249			Dodgeball:_A_True_Underdog_Story			Rawson_Marshall_Thurber			6.7			2004			Ben_Stiller			Christine_Taylor			Vince_Vaughn			Rip_Torn			167722310			20000000
250			La_piel_que_habito			Pedro_AlmodÃ³var			7.6			2011			Antonio_Banderas			Elena_Anaya			Jan_Cornet			Marisa_Paredes			30842353			13000000
251			Ruby_Sparks			Jonathan_Dayton			7.2			2012			Paul_Dano			Zoe_Kazan			Annette_Bening			Antonio_Banderas			9128263			3000000
252			Layer_Cake			Matthew_Vaughn			7.4			2004			Daniel_Craig			Sienna_Miller			Michael_Gambon			Tom_Hardy			11850214			4000000
253			Rounders			John_Dahl			7.4			1998			Matt_Damon			Edward_Norton			Gretchen_Mol			John_Malkovich			23905674			12000000
257			Cape_Fear			Martin_Scorsese			7.3			1991			Robert_De_Niro			Nick_Nolte			Jessica_Lange			Juliette_Lewis			182300000			35000000
261			Moon			Duncan_Jones			8			2009			Sam_Rockwell			Kevin_Spacey			Dominique_McElligott			Rosie_Shaw			9760104			5000000
262			Clerks			Kevin_Smith			7.8			1994			Brian_O'Halloran			Jeff_Anderson			Marilyn_Ghigliotti			Lisa_Spoonauer			3151130			230000
263			Drag_Me_to_Hell			Sam_Raimi			6.6			2009			Alison_Lohman			Justin_Long			Ruth_Livier			Lorna_Raver			90842646			30000000
265			The_Bourne_Supremacy			Paul_Greengrass			7.8			2004			Matt_Damon			Franka_Potente			Joan_Allen			Brian_Cox			288500217			75000000
266			Trois_couleurs:_Rouge			Krzysztof_Kieslowski			8.1			1994			Ir¨¨ne_Jacob			Jean-Louis_Trintignant			Fr¨¦d¨¦rique_Feder			Jean-Pierre_Lorit			4043686			1000000
267			A_History_of_Violence			David_Cronenberg			7.5			2005			Viggo_Mortensen			Maria_Bello			Ed_Harris			William_Hurt			60740827			32000000
268			The_Hangover			Todd_Phillips			7.8			2009			Zach_Galifianakis			Bradley_Cooper			Justin_Bartha			Ed_Helms			467483912			35000000
